Cytochrom_B559_int_PsbJ, seqPair 1, auc = 0.837, sens = 1.000, spec = 0.778, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EGF_2_int_Integrin_B_tail, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 9, auc = 0.994, sens = 1.000, spec = 0.960, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EGF_2_int_Integrin_B_tail, seqPair 2, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 14, auc = 0.996, sens = 1.000, spec = 0.938, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 12, auc = 0.910, sens = 0.984, spec = 0.785, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 7, auc = 1.000, sens = 1.000, spec = 0.923, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EGF_2_int_Integrin_B_tail, seqPair 3, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 9, auc = 0.992, sens = 0.976, spec = 0.952, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 8, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 8, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EGF_2_int_Integrin_B_tail, seqPair 4, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 8, auc = 0.986, sens = 1.000, spec = 0.800, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EGF_2_int_Integrin_B_tail, seqPair 5, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EGF_2_int_Integrin_B_tail, seqPair 6, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 9, auc = 0.947, sens = 1.000, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 9, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EGF_2_int_Integrin_B_tail, seqPair 7, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 15, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 10, auc = 0.983, sens = 0.974, spec = 0.974, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 10, auc = 0.956, sens = 1.000, spec = 0.882, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EGF_2_int_Integrin_B_tail, seqPair 8, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 13, auc = 0.826, sens = 1.000, spec = 0.753, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 9, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 10, auc = 0.964, sens = 1.000, spec = 0.966, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EGF_2_int_Integrin_B_tail, seqPair 9, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 11, auc = 0.889, sens = 1.000, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 10, auc = 1.000, sens = 1.000, spec = 0.917, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
EGF_2_int_Integrin_B_tail, seqPair 10, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 12, auc = 0.982, sens = 1.000, spec = 0.750, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 11, auc = 0.990, sens = 1.000, spec = 0.976, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 1, auc = 0.962, sens = 1.000, spec = 0.944, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 16, auc = 1.000, sens = 0.833, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 13, auc = 0.949, sens = 1.000, spec = 0.737, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 11, auc = 0.990, sens = 1.000, spec = 0.909, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 2, auc = 0.969, sens = 1.000, spec = 0.842, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 14, auc = 0.906, sens = 0.983, spec = 0.795, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 10, auc = 0.964, sens = 1.000, spec = 0.882, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fer2_int_NADH-G_4Fe-4S_3, seqPair 14, auc = 1.000, sens = 1.000, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 3, auc = 0.988, sens = 0.944, spec = 0.810, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 11, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
APT_int_Pertussis_S2S3, seqPair 12, auc = 0.958, sens = 0.972, spec = 0.946, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 12, auc = 1.000, sens = 1.000, spec = 0.938, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 4, auc = 1.000, sens = 1.000, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 17, auc = 0.959, sens = 0.846, spec = 0.917, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 1, auc = 0.984, sens = 0.917, spec = 0.880, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 5, auc = 1.000, sens = 1.000, spec = 0.867, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 13, auc = 0.983, sens = 1.000, spec = 0.786, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 11, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 15, auc = 0.883, sens = 0.967, spec = 0.744, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 6, auc = 1.000, sens = 1.000, spec = 0.737, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Alpha_adaptin_C_int_Alpha_adaptinC2, seqPair 1, auc = 0.972, sens = 0.947, spec = 0.947, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 2, auc = 0.970, sens = 0.958, spec = 0.958, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 14, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 18, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 7, auc = 1.000, sens = 1.000, spec = 0.762, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 12, auc = 1.000, sens = 0.960, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 3, auc = 0.974, sens = 1.000, spec = 0.852, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 8, auc = 1.000, sens = 1.000, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 12, auc = 0.944, sens = 0.929, spec = 0.867, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Alpha_adaptin_C_int_Alpha_adaptinC2, seqPair 2, auc = 0.999, sens = 1.000, spec = 0.907, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 16, auc = 0.904, sens = 0.980, spec = 0.845, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 15, auc = 0.958, sens = 1.000, spec = 0.923, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 9, auc = 1.000, sens = 1.000, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 4, auc = 1.000, sens = 1.000, spec = 0.957, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 10, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ADAM_CR_int_Disintegrin, seqPair 19, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 16, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 11, auc = 1.000, sens = 1.000, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 13, auc = 0.999, sens = 0.962, spec = 0.962, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 1, auc = 0.939, sens = 0.929, spec = 0.867, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Alpha_adaptin_C_int_Alpha_adaptinC2, seqPair 3, auc = 0.982, sens = 1.000, spec = 0.927, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 5, auc = 1.000, sens = 1.000, spec = 0.846, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 13, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repress_int_FeoA, seqPair 12, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 17, auc = 0.929, sens = 0.980, spec = 0.831, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 2, auc = 0.944, sens = 0.643, spec = 0.900, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 17, auc = 0.977, sens = 0.875, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 6, auc = 0.930, sens = 1.000, spec = 0.846, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 3, auc = 0.988, sens = 0.778, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Alpha_adaptin_C_int_Alpha_adaptinC2, seqPair 4, auc = 0.968, sens = 0.949, spec = 0.925, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 18, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 4, auc = 0.907, sens = 0.867, spec = 0.867, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 14, auc = 0.997, sens = 0.842, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 7, auc = 1.000, sens = 1.000, spec = 0.852, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fumarate_red_C_int_Fumarate_red_D, seqPair 1, auc = 0.960, sens = 0.991, spec = 0.881, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 14, auc = 1.000, sens = 0.964, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1954_int_Stap_Strp_tox_C, seqPair 18, auc = 0.919, sens = 0.965, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 5, auc = 0.947, sens = 0.923, spec = 0.857, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
E3_binding_int_Transketolase_C, seqPair 19, auc = 0.947, sens = 1.000, spec = 0.938, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 6, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 1, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Alpha_adaptin_C_int_Alpha_adaptinC2, seqPair 5, auc = 1.000, sens = 1.000, spec = 0.905, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 8, auc = 0.944, sens = 1.000, spec = 0.880, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 7, auc = 0.949, sens = 0.929, spec = 0.929, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 2, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 15, auc = 0.986, sens = 1.000, spec = 0.857, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fumarate_red_C_int_Fumarate_red_D, seqPair 2, auc = 0.960, sens = 0.991, spec = 0.880, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_C, seqPair 1, auc = 0.934, sens = 0.857, spec = 0.857, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 9, auc = 1.000, sens = 1.000, spec = 0.909, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 3, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 8, auc = 0.978, sens = 1.000, spec = 0.882, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 15, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Alpha_adaptin_C_int_Alpha_adaptinC2, seqPair 6, auc = 0.959, sens = 1.000, spec = 0.909, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 4, auc = 0.956, sens = 1.000, spec = 0.938, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 9, auc = 0.938, sens = 0.917, spec = 0.917, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_C, seqPair 2, auc = 0.978, sens = 1.000, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 10, auc = 0.970, sens = 1.000, spec = 0.821, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
B12-binding_int_B12-binding_2, seqPair 16, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 10, auc = 0.985, sens = 0.929, spec = 0.929, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 5, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fumarate_red_C_int_Fumarate_red_D, seqPair 3, auc = 0.927, sens = 0.991, spec = 0.848, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Alpha_adaptin_C_int_Alpha_adaptinC2, seqPair 7, auc = 0.990, sens = 1.000, spec = 0.884, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 6, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 11, auc = 1.000, sens = 1.000, spec = 0.920, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 11, auc = 0.978, sens = 0.889, spec = 0.941, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_C, seqPair 3, auc = 0.979, sens = 1.000, spec = 0.963, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 16, auc = 1.000, sens = 1.000, spec = 0.926, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 12, auc = 0.757, sens = 0.846, spec = 0.688, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 7, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_N, seqPair 1, auc = 0.842, sens = 1.000, spec = 0.692, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 12, auc = 0.998, sens = 1.000, spec = 0.885, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_C, seqPair 4, auc = 0.930, sens = 1.000, spec = 0.885, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fumarate_red_C_int_Fumarate_red_D, seqPair 4, auc = 0.941, sens = 1.000, spec = 0.878, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
ACT_int_ALS_ss_C, seqPair 13, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 8, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Alpha_adaptin_C_int_Alpha_adaptinC2, seqPair 8, auc = 1.000, sens = 1.000, spec = 0.952, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 9, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_N, seqPair 2, auc = 0.887, sens = 0.926, spec = 0.758, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 13, auc = 0.948, sens = 0.944, spec = 0.850, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_C, seqPair 5, auc = 0.947, sens = 1.000, spec = 0.871, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 10, auc = 1.000, sens = 1.000, spec = 0.941, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fumarate_red_C_int_Fumarate_red_D, seqPair 5, auc = 0.912, sens = 0.991, spec = 0.817, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Copper-bind_int_Cytochrom_C, seqPair 17, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Alpha_adaptin_C_int_Alpha_adaptinC2, seqPair 9, auc = 0.982, sens = 1.000, spec = 0.881, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 14, auc = 0.988, sens = 0.944, spec = 0.895, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
2-Hacid_dh_int_ACT, seqPair 1, auc = 0.938, sens = 0.556, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 11, auc = 0.965, sens = 1.000, spec = 0.941, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_C, seqPair 6, auc = 0.966, sens = 1.000, spec = 0.933, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 12, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CheY-binding_int_Response_reg, seqPair 1, auc = 0.986, sens = 0.952, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 15, auc = 1.000, sens = 1.000, spec = 0.824, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_C, seqPair 7, auc = 0.957, sens = 1.000, spec = 0.867, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
DUF1929_int_Kelch_1, seqPair 13, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Alpha_adaptin_C_int_Alpha_adaptinC2, seqPair 10, auc = 0.931, sens = 0.946, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fumarate_red_C_int_Fumarate_red_D, seqPair 6, auc = 0.960, sens = 0.991, spec = 0.906, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CheY-binding_int_Response_reg, seqPair 2, auc = 1.000, sens = 1.000, spec = 0.955, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
2-Hacid_dh_int_ACT, seqPair 2, auc = 0.969, sens = 0.750, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 16, auc = 0.996, sens = 1.000, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_N, seqPair 3, auc = 0.931, sens = 0.000, spec = 0.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_C, seqPair 8, auc = 0.686, sens = 0.000, spec = 0.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CheY-binding_int_Response_reg, seqPair 3, auc = 1.000, sens = 1.000, spec = 0.957, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Alpha_adaptin_C_int_Alpha_adaptinC2, seqPair 11, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 17, auc = 0.997, sens = 1.000, spec = 0.947, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_C_int_PsbU, seqPair 1, auc = 0.989, sens = 0.947, spec = 0.900, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CheY-binding_int_Response_reg, seqPair 4, auc = 0.967, sens = 1.000, spec = 0.826, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fumarate_red_C_int_Fumarate_red_D, seqPair 7, auc = 0.915, sens = 0.963, spec = 0.847, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_N, seqPair 4, auc = 0.822, sens = 0.964, spec = 0.697, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_C, seqPair 9, auc = 0.986, sens = 1.000, spec = 0.824, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
2-Hacid_dh_int_ACT, seqPair 3, auc = 0.938, sens = 1.000, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fe_dep_repr_C_int_FeoA, seqPair 18, auc = 0.983, sens = 0.941, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CheY-binding_int_Response_reg, seqPair 5, auc = 0.943, sens = 0.950, spec = 0.826, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
La_int_RRM_1, seqPair 1, auc = 0.992, sens = 0.909, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_C, seqPair 10, auc = 0.894, sens = 1.000, spec = 0.875, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Cytochrom_C_int_PsbU, seqPair 2, auc = 0.898, sens = 0.889, spec = 0.889, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_N, seqPair 5, auc = 0.882, sens = 1.000, spec = 0.744, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GARS_C_int_GARS_N, seqPair 1, auc = 1.000, sens = 0.962, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
La_int_RRM_1, seqPair 2, auc = 0.880, sens = 1.000, spec = 0.833, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CheY-binding_int_Response_reg, seqPair 6, auc = 0.998, sens = 1.000, spec = 0.955, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
Fumarate_red_C_int_Fumarate_red_D, seqPair 8, auc = 0.912, sens = 0.944, spec = 0.857, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
2-Hacid_dh_int_ACT, seqPair 4, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
La_int_RRM_1, seqPair 3, auc = 0.901, sens = 1.000, spec = 0.900, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_C, seqPair 11, auc = 0.935, sens = 0.970, spec = 0.865, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
GalKase_gal_bdg_int_GHMP_kinases_N, seqPair 6, auc = 0.865, sens = 0.955, spec = 0.692, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
CheY-binding_int_Response_reg, seqPair 7, auc = 0.998, sens = 0.955, spec = 1.000, blAUC = 0.000, blSens = 0.000, blSpec = 0.000.
